527.56,529.82,522.67,523.37
521.83,522.89,511.66,512.46
513.59,514.76,499.68,500.59
505.61,505.86,498.28,499.73
496.63,502.1,489.66,501.3
503.38,503.54,493.44,494.81
493.58,494.62,486.23,491.2
497.47,501.6,491.04,494.82
493.3,501.85,491.65,499.5
504.19,504.3,496.4,500.42
498.64,506.8,498.63,506.69
509.6,511.1,504.63,505.51
505.86,517.86,504.81,516.62
520.05,534.86,518.28,532.93
534.12,540.69,531.54,538.47
537.06,537.52,528.22,533.74
528.52,529.25,516.77,517.21
521.35,521.56,508.6,508.6
509.6,509.69,499.83,509.26
514.45,538.39,514.11,533.06
530.27,531.54,517.13,527.03
526.55,531.94,521.83,527.79
527.79,531.21,519.84,521.33
522.36,527.05,520.66,526.14
526.2,535.73,524.97,529.55
526.55,530.54,524.58,526.38
527.85,536.23,525.48,535.47
533.83,536.98,531.92,534.5
535.78,543.33,533.21,541.44
541.86,548.4,541.64,547.51
545.33,548.49,539.61,541.35
539.92,544,536.04,538.22
536.57,541.62,536.54,541.38
541.64,542.26,534.33,537.47
534.58,534.97,527.96,530.45
528.55,535.32,526.8,534.62
534.43,544.72,533.98,542.38
541.72,554.62,540.02,553.96
552.72,563.16,551.39,556.87
559,570.58,557.22,569.78
568.89,573.81,564.97,572.07
570.3,575.53,566.45,571.8
573.45,576.33,571.84,573.75
573.31,575.1,565.21,566.13
565.31,568.71,561.99,567.29
562.71,563.3,553.21,553.49
553.62,556.61,549.17,549.67
551.99,554.85,548.95,553.99
551.98,556.87,542.73,545.82
549.44,555.33,544.51,552.99
550.2,552.28,546.5,549.33
550.99,558.25,545.5,557.97
557.86,559.26,554.62,556.46
560.11,560.18,557.52,558.83
558.9,560.82,554.31,557.28
561.02,573.02,559.67,568.63
568.94,570.69,557.21,557.26
556.06,557.37,549.14,553.65
551.49,553.76,546.63,546.84
550.11,551.95,546.67,550.52
548.49,553.19,545.22,546.5
547.1,549.63,538.02,541.07
539.37,539.37,532.39,534.06
530.76,536.94,528.12,535.3
536.61,541.2,534.53,535.55
536.91,542.36,536.91,540.13
539.55,540.47,534.02,539.3
540.81,540.81,535.84,538.53
536.94,542.57,535.84,537.69
534.78,536.1,526.65,528.94
527.25,533.27,521.79,531.07
528.45,534.12,528.16,532.34
527.21,528.39,519.58,522.62
524.16,534.62,523.06,533.91
536.04,537.91,532.21,532.51
532.94,539.6,530.29,537.89
539.52,549.45,538.75,545.5
564.55,569.58,555.72,563.51
563.39,565.95,553.2,555.37
554.64,556.02,550.37,553.68
550.47,553.68,546.91,549.08
547.87,548.59,535.05,537.34
538.43,539.54,532.1,537.9
538.53,544.07,535.06,540.78
538.21,539.74,530.39,530.8
531.24,532.38,521.09,524.22
523.99,533.46,521.75,530.7
536.65,541.15,525,538.22
538.37,541.98,535.4,535.7
531.6,533.21,525.26,529.04
530.56,534.32,528.66,529.62
533.77,539,532.41,538.4
539.18,539.27,530.38,533.85
532.01,534.82,528.85,532.3
533.98,540.66,533.04,537.36
538.49,542.92,532.97,539.27
537.95,543.84,535.98,542.51
540.15,544.19,539.51,540.11
538.12,539,529.88,532.32
532.8,540.55,531.71,539.79
538.01,540.61,536.25,539.78
537.37,538.63,531.45,532.11
536.79,536.79,529.76,533.99
532.93,543,531.33,539.18
539.91,543.5,537.11,540.31
537.76,540.59,534.32,536.7
536.35,537.2,532.52,533.33
533.31,534.12,526.24,526.83
527.56,529.2,523.01,526.69
529.36,538.36,529.35,536.69
538.42,538.98,533.02,534.61
531.6,533.12,530.16,532.33
528,528.3,524,527.2
528.4,529.64,525.56,528.15
529.37,530.98,525.1,529.26
531,538.15,530.79,536.73
537.21,538.25,533.01,536.69
539.59,543.74,537.53,538.19
539.64,541.5,535.25,540.48
540,540,535.66,537.84
538.87,540.9,535.23,535.23
537.26,537.76,531.35,531.69
525.01,528.61,520.54,521.52
526.02,526.25,520.5,520.51
524.73,525.69,518.23,521.84
521.08,524.65,521.08,523.4
519.5,525.25,519,522.86
523.13,526.18,515.18,525.02
521.05,522.73,516.11,516.83
523.12,523.77,520.35,520.68
526.29,532.56,525.55,530.13
532.88,547.11,532.4,546.55
546.76,565.85,546.71,561.1
560.13,566.5,556.79,560.22
